Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
KMTA02,I,8202.18989,0.0,0.0,17.142084,0.021201
KMTA02,I,8202.20944,0.0,0.0,17.125503,0.022518
KMTA02,I,8202.22074,0.0,0.0,17.18018,0.038649
KMTA02,I,8202.23174,0.0,0.0,17.159797,0.028518
KMTA02,I,8202.26102,0.0,0.0,17.140446,0.023742
KMTA02,I,8202.27233,0.0,0.0,17.171268,0.021877
KMTA02,I,8204.15162,0.0,0.0,17.117317,0.031599
KMTA02,I,8204.16275,0.0,0.0,17.161845,0.02974
KMTA02,I,8204.17459,0.0,0.0,17.145155,0.021865
KMTA02,I,8204.1934,0.0,0.0,17.187864,0.028203
KMTA02,I,8204.20578,0.0,0.0,17.162254,0.028076
KMTA02,I,8204.2243,0.0,0.0,17.137273,0.027506
KMTA02,I,8204.23569,0.0,0.0,17.198318,0.062303
KMTA02,I,8204.24714,0.0,0.0,17.22764,0.051963
KMTA02,I,8204.26025,0.0,0.0,17.124685,0.032492
KMTA02,I,8204.27131,0.0,0.0,17.134304,0.028392
KMTA02,I,8206.14848,0.0,0.0,17.158773,0.020987
KMTA02,I,8206.15998,0.0,0.0,17.109747,0.019313
KMTA02,I,8206.17243,0.0,0.0,17.136044,0.017124
KMTA02,I,8206.18368,0.0,0.0,17.150171,0.017569
KMTA02,I,8206.19492,0.0,0.0,17.141572,0.015264
KMTA02,I,8206.21517,0.0,0.0,17.124378,0.025505
KMTA02,I,8206.22875,0.0,0.0,17.132974,0.017672
KMTA02,I,8206.23984,0.0,0.0,17.158568,0.015488
KMTA02,I,8206.25096,0.0,0.0,17.120898,0.019648
KMTA02,I,8206.26224,0.0,0.0,17.148533,0.018668
KMTA02,I,8206.2819,0.0,0.0,17.137682,0.016466
KMTA02,I,8206.2946,0.0,0.0,17.139627,0.018444
KMTA02,I,8207.14234,0.0,0.0,17.158773,0.024194
KMTA02,I,8207.15337,0.0,0.0,17.164098,0.023422
KMTA02,I,8207.16441,0.0,0.0,17.164917,0.022759
KMTA02,I,8207.17563,0.0,0.0,17.176082,0.026087
KMTA02,I,8207.18711,0.0,0.0,17.116397,0.034041
KMTA02,I,8207.20527,0.0,0.0,17.130722,0.018001
KMTA02,I,8207.21638,0.0,0.0,17.145871,0.031173
KMTA02,I,8207.22937,0.0,0.0,17.125708,0.025173
KMTA02,I,8207.24091,0.0,0.0,17.160616,0.035185
KMTA02,I,8207.25209,0.0,0.0,17.145155,0.018336
KMTA02,I,8207.27039,0.0,0.0,17.131746,0.019652
KMTA02,I,8207.28366,0.0,0.0,17.160309,0.022314
KMTA02,I,8207.2949,0.0,0.0,17.183561,0.029199
KMTA02,I,8208.13443,0.0,0.0,17.133179,0.024402
KMTA02,I,8208.14545,0.0,0.0,17.104325,0.024277
KMTA02,I,8208.16179,0.0,0.0,17.168092,0.023424
KMTA02,I,8208.18025,0.0,0.0,17.162869,0.019114
KMTA02,I,8208.20468,0.0,0.0,17.130006,0.016793
KMTA02,I,8208.21724,0.0,0.0,17.155701,0.017681
KMTA02,I,8208.2302,0.0,0.0,17.144848,0.017676
KMTA02,I,8208.24147,0.0,0.0,17.17178,0.017797
KMTA02,I,8208.26172,0.0,0.0,17.163688,0.017794
KMTA02,I,8208.27305,0.0,0.0,17.144438,0.018446
KMTA02,I,8208.28432,0.0,0.0,17.12714,0.025063
KMTA02,I,8209.13243,0.0,0.0,17.150786,0.066585
KMTA02,I,8209.14376,0.0,0.0,17.209388,0.075156
KMTA02,I,8209.16222,0.0,0.0,17.148021,0.021866
KMTA02,I,8209.18984,0.0,0.0,17.132667,0.018881
KMTA02,I,8209.20146,0.0,0.0,17.14536,0.017567
KMTA02,I,8209.21262,0.0,0.0,17.158875,0.018562
KMTA02,I,8209.23124,0.0,0.0,17.134407,0.018222
KMTA02,I,8209.24677,0.0,0.0,17.14106,0.017236
KMTA02,I,8209.25757,0.0,0.0,17.145155,0.031062
KMTA02,I,8209.26871,0.0,0.0,17.144643,0.025737
KMTA02,I,8209.28033,0.0,0.0,17.152322,0.01691
KMTA02,I,8211.15809,0.0,0.0,17.10586,0.021295
KMTA02,I,8211.2217,0.0,0.0,17.151502,0.025076
KMTA02,I,8211.23299,0.0,0.0,17.166556,0.023202
KMTA02,I,8211.24741,0.0,0.0,17.160718,0.022204
KMTA02,I,8211.26036,0.0,0.0,17.158056,0.022424
KMTA02,I,8211.28837,0.0,0.0,17.173624,0.018788
KMTA02,I,8212.13415,0.0,0.0,17.172087,0.02786
KMTA02,I,8212.14519,0.0,0.0,17.12714,0.027944
KMTA02,I,8212.15303,0.0,0.0,17.178336,0.028308
KMTA02,I,8212.1642,0.0,0.0,17.166966,0.02708
KMTA02,I,8212.17566,0.0,0.0,17.146486,0.024852
KMTA02,I,8212.18986,0.0,0.0,17.16461,0.029076
KMTA02,I,8212.20797,0.0,0.0,17.155189,0.027628
KMTA02,I,8213.1339,0.0,0.0,17.128676,0.026061
KMTA02,I,8213.14586,0.0,0.0,17.138808,0.034168
KMTA02,I,8213.1576,0.0,0.0,17.13543,0.026286
KMTA02,I,8213.16892,0.0,0.0,17.165224,0.028189
KMTA02,I,8213.18879,0.0,0.0,17.159387,0.032405
KMTA02,I,8213.20208,0.0,0.0,17.085815,0.031578
KMTA02,I,8213.2166,0.0,0.0,17.169424,0.027414
KMTA02,I,8213.23655,0.0,0.0,17.135328,0.023186
KMTA02,I,8213.24823,0.0,0.0,17.152424,0.02231
KMTA02,I,8213.26607,0.0,0.0,17.143517,0.020649
KMTA02,I,8213.27774,0.0,0.0,17.147407,0.021424
KMTA02,I,8213.289,0.0,0.0,17.126731,0.023956
KMTA02,I,8213.30025,0.0,0.0,17.13543,0.023186
KMTA02,I,8213.31439,0.0,0.0,17.157953,0.024969
KMTA02,I,8214.1227,0.0,0.0,17.088576,0.025818
KMTA02,I,8214.14268,0.0,0.0,17.145667,0.026181
KMTA02,I,8214.15412,0.0,0.0,17.121717,0.023733
KMTA02,I,8214.16535,0.0,0.0,17.121819,0.020089
KMTA02,I,8214.17679,0.0,0.0,17.141572,0.024075
KMTA02,I,8214.18817,0.0,0.0,17.207645,0.037003
KMTA02,I,8214.20736,0.0,0.0,17.175058,0.021989
KMTA02,I,8214.21836,0.0,0.0,17.102586,0.027265
KMTA02,I,8214.23009,0.0,0.0,17.156929,0.024747
KMTA02,I,8214.24161,0.0,0.0,17.13932,0.020979
KMTA02,I,8214.25268,0.0,0.0,17.177824,0.020113
KMTA02,I,8214.27116,0.0,0.0,17.15355,0.026518
KMTA02,I,8214.28238,0.0,0.0,17.168502,0.026859
KMTA02,I,8214.29417,0.0,0.0,17.184995,0.028312
KMTA02,I,8214.30534,0.0,0.0,17.117829,0.032154
KMTA02,I,8214.31678,0.0,0.0,17.17936,0.038983
KMTA02,I,8215.12726,0.0,0.0,17.096859,0.036137
KMTA02,I,8215.13839,0.0,0.0,17.134202,0.035498
KMTA02,I,8215.14974,0.0,0.0,17.127038,0.03216
KMTA02,I,8215.16119,0.0,0.0,17.13891,0.029393
KMTA02,I,8215.19381,0.0,0.0,17.132565,0.025288
KMTA02,I,8215.21224,0.0,0.0,17.115578,0.030599
KMTA02,I,8215.2236,0.0,0.0,17.196473,0.039443
KMTA02,I,8215.23511,0.0,0.0,17.099927,0.034473
KMTA02,I,8215.24673,0.0,0.0,17.137887,0.035279
KMTA02,I,8215.25903,0.0,0.0,17.160411,0.04353
KMTA02,I,8215.27902,0.0,0.0,17.132053,0.036052
KMTA02,I,8215.29031,0.0,0.0,17.122945,0.037046
KMTA02,I,8215.30197,0.0,0.0,17.167887,0.039418
KMTA02,I,8215.31316,0.0,0.0,17.168502,0.040977
KMTA02,I,8216.11416,0.0,0.0,17.194013,0.024878
KMTA02,I,8216.12538,0.0,0.0,17.146588,0.026181
KMTA02,I,8216.14375,0.0,0.0,17.197498,0.022111
KMTA02,I,8216.1554,0.0,0.0,17.12714,0.01965
KMTA02,I,8216.16697,0.0,0.0,17.172189,0.020883
KMTA02,I,8216.17852,0.0,0.0,17.166966,0.019446
KMTA02,I,8216.18988,0.0,0.0,17.148329,0.022972
KMTA02,I,8216.20834,0.0,0.0,17.130211,0.022079
KMTA02,I,8216.21984,0.0,0.0,17.138399,0.018774
KMTA02,I,8216.23114,0.0,0.0,17.154677,0.024746
KMTA02,I,8216.24231,0.0,0.0,17.117727,0.021411
KMTA02,I,8216.25313,0.0,0.0,17.127345,0.023957
KMTA02,I,8216.27167,0.0,0.0,17.195653,0.025988
KMTA02,I,8216.28274,0.0,0.0,17.105246,0.027156
KMTA02,I,8216.29407,0.0,0.0,17.157441,0.029849
KMTA02,I,8216.30556,0.0,0.0,17.14495,0.024962
KMTA02,I,8216.3169,0.0,0.0,17.130518,0.037051
KMTA02,I,8217.11659,0.0,0.0,17.137477,0.025622
KMTA02,I,8217.12819,0.0,0.0,17.134407,0.021197
KMTA02,I,8217.13973,0.0,0.0,17.102586,0.01975
KMTA02,I,8217.15127,0.0,0.0,17.123457,0.017778
KMTA02,I,8217.16258,0.0,0.0,17.120592,0.026056
KMTA02,I,8217.18067,0.0,0.0,17.113634,0.021298
KMTA02,I,8217.1918,0.0,0.0,17.130006,0.021858
KMTA02,I,8217.20309,0.0,0.0,17.14536,0.017896
KMTA02,I,8217.21549,0.0,0.0,17.135635,0.017014
KMTA02,I,8217.22756,0.0,0.0,17.13369,0.018442
KMTA02,I,8217.24623,0.0,0.0,17.14966,0.015376
KMTA02,I,8217.25752,0.0,0.0,17.173009,0.018127
KMTA02,I,8217.26869,0.0,0.0,17.160616,0.020326
KMTA02,I,8217.27976,0.0,0.0,17.148738,0.01988
KMTA02,I,8217.29127,0.0,0.0,17.147305,0.030286
KMTA02,I,8217.3022,0.0,0.0,17.152424,0.016801
KMTA02,I,8218.10881,0.0,0.0,17.115476,0.024172
KMTA02,I,8218.12019,0.0,0.0,17.161435,0.035074
