Tel,Filter,HJD,mag,e_mag,mag_aligned,e_mag_aligned
KMTA01,I,8171.22804,0.0,0.0,17.239821,0.033189
KMTA01,I,8171.25482,0.0,0.0,17.286507,0.029384
KMTA01,I,8172.24687,0.0,0.0,17.202599,0.020798
KMTA01,I,8176.20745,0.0,0.0,17.189859,0.021793
KMTA01,I,8176.2089,0.0,0.0,17.240703,0.028417
KMTA01,I,8176.27199,0.0,0.0,17.279071,0.025023
KMTA01,I,8177.22009,0.0,0.0,17.172508,0.066768
KMTA01,I,8178.22533,0.0,0.0,17.254996,0.024638
KMTA01,I,8178.24132,0.0,0.0,17.086163,0.328228
KMTA01,I,8178.27506,0.0,0.0,17.220822,0.014293
KMTA01,I,8178.2899,0.0,0.0,17.212495,0.018719
KMTA01,I,8179.21391,0.0,0.0,17.318192,0.053828
KMTA01,I,8179.23958,0.0,0.0,17.012571,0.079475
KMTA01,I,8179.27329,0.0,0.0,17.104031,0.057748
KMTA01,I,8180.22286,0.0,0.0,17.191427,0.033818
KMTA01,I,8180.24806,0.0,0.0,17.25206,0.028311
KMTA01,I,8188.19024,0.0,0.0,17.21994,0.02406
KMTA01,I,8188.22553,0.0,0.0,17.242563,0.028118
KMTA01,I,8188.25028,0.0,0.0,17.277506,0.034258
KMTA01,I,8188.28001,0.0,0.0,17.247067,0.033881
KMTA01,I,8189.1817,0.0,0.0,17.22474,0.018813
KMTA01,I,8189.20595,0.0,0.0,17.233064,0.016742
KMTA01,I,8189.22912,0.0,0.0,17.222389,0.018124
KMTA01,I,8189.26765,0.0,0.0,17.228364,0.019503
KMTA01,I,8190.17833,0.0,0.0,17.222487,0.019209
KMTA01,I,8190.20133,0.0,0.0,17.204167,0.020995
KMTA01,I,8192.19536,0.0,0.0,17.245109,0.023454
KMTA01,I,8192.21912,0.0,0.0,17.240605,0.01615
KMTA01,I,8192.24376,0.0,0.0,17.244619,0.018116
KMTA01,I,8192.2735,0.0,0.0,17.227776,0.015859
KMTA01,I,8193.23478,0.0,0.0,17.218667,0.017238
KMTA01,I,8193.26391,0.0,0.0,17.21465,0.01547
KMTA01,I,8194.18056,0.0,0.0,17.238744,0.023159
KMTA01,I,8194.20676,0.0,0.0,17.242955,0.018511
KMTA01,I,8194.23079,0.0,0.0,17.212495,0.017733
KMTA01,I,8194.26061,0.0,0.0,17.244129,0.019398
KMTA01,I,8194.2837,0.0,0.0,17.225817,0.017039
KMTA01,I,8195.162,0.0,0.0,17.208478,0.020005
KMTA01,I,8195.18811,0.0,0.0,17.223466,0.020197
KMTA01,I,8195.21434,0.0,0.0,17.225131,0.017926
KMTA01,I,8195.23732,0.0,0.0,17.215238,0.017732
KMTA01,I,8195.27436,0.0,0.0,17.250493,0.01841
KMTA01,I,8196.16627,0.0,0.0,17.236786,0.017232
KMTA01,I,8196.18929,0.0,0.0,17.188977,0.017938
KMTA01,I,8196.21224,0.0,0.0,17.215826,0.01449
KMTA01,I,8196.24165,0.0,0.0,17.238548,0.016445
KMTA01,I,8196.2643,0.0,0.0,17.213474,0.015373
KMTA01,I,8196.29457,0.0,0.0,17.218275,0.013708
KMTA01,I,8197.1676,0.0,0.0,17.232477,0.024153
KMTA01,I,8197.17048,0.0,0.0,17.205146,0.019512
KMTA01,I,8197.1919,0.0,0.0,17.248535,0.019002
KMTA01,I,8197.21459,0.0,0.0,17.234142,0.020983
KMTA01,I,8197.24438,0.0,0.0,17.220822,0.01921
KMTA01,I,8197.26778,0.0,0.0,17.215532,0.015568
KMTA01,I,8201.17622,0.0,0.0,17.219156,0.016451
KMTA01,I,8201.20191,0.0,0.0,17.225131,0.01439
KMTA01,I,8201.22415,0.0,0.0,17.237863,0.016445
KMTA01,I,8201.26211,0.0,0.0,17.236982,0.016347
KMTA01,I,8201.28496,0.0,0.0,17.225719,0.012538
KMTA01,I,8202.15106,0.0,0.0,17.218862,0.01714
KMTA01,I,8202.17746,0.0,0.0,17.223956,0.016548
KMTA01,I,8202.21223,0.0,0.0,17.196915,0.01833
KMTA01,I,8202.26375,0.0,0.0,17.251864,0.021372
KMTA01,I,8204.15431,0.0,0.0,17.221605,0.022176
KMTA01,I,8204.18301,0.0,0.0,17.196915,0.017935
KMTA01,I,8204.20846,0.0,0.0,17.243248,0.027422
KMTA01,I,8204.23848,0.0,0.0,17.2823,0.034851
KMTA01,I,8204.26311,0.0,0.0,17.131609,0.045131
KMTA01,I,8206.15132,0.0,0.0,17.226894,0.013901
KMTA01,I,8206.1752,0.0,0.0,17.209262,0.014003
KMTA01,I,8206.19779,0.0,0.0,17.241584,0.017329
KMTA01,I,8206.23143,0.0,0.0,17.225523,0.015565
KMTA01,I,8206.2538,0.0,0.0,17.225817,0.014879
KMTA01,I,8206.28461,0.0,0.0,17.207596,0.012154
KMTA01,I,8207.13076,0.0,0.0,17.219548,0.016943
KMTA01,I,8207.15614,0.0,0.0,17.213572,0.016846
KMTA01,I,8207.17857,0.0,0.0,17.22758,0.014781
KMTA01,I,8207.20795,0.0,0.0,17.193877,0.013519
KMTA01,I,8207.23211,0.0,0.0,17.212691,0.012638
KMTA01,I,8207.25831,0.0,0.0,17.242759,0.015168
KMTA01,I,8207.28652,0.0,0.0,17.23042,0.019601
KMTA01,I,8208.12582,0.0,0.0,17.235023,0.025045
KMTA01,I,8208.1482,0.0,0.0,17.206028,0.023868
KMTA01,I,8208.18883,0.0,0.0,17.237079,0.020784
KMTA01,I,8208.21993,0.0,0.0,17.214062,0.015569
KMTA01,I,8208.24967,0.0,0.0,17.177116,0.014893
KMTA01,I,8208.27585,0.0,0.0,17.220038,0.014979
KMTA01,I,8209.1353,0.0,0.0,17.254115,0.035767
KMTA01,I,8209.16522,0.0,0.0,17.210731,0.018029
KMTA01,I,8209.19278,0.0,0.0,17.209556,0.016258
KMTA01,I,8209.21531,0.0,0.0,17.208968,0.017143
KMTA01,I,8209.2495,0.0,0.0,17.237961,0.017134
KMTA01,I,8209.27144,0.0,0.0,17.24315,0.019399
KMTA01,I,8211.16087,0.0,0.0,17.238548,0.020982
KMTA01,I,8211.23586,0.0,0.0,17.235023,0.024449
KMTA01,I,8211.26715,0.0,0.0,17.215826,0.016944
KMTA01,I,8212.13686,0.0,0.0,17.239136,0.029113
KMTA01,I,8212.16712,0.0,0.0,17.207106,0.023867
KMTA01,I,8212.19623,0.0,0.0,17.204755,0.01971
KMTA01,I,8213.13658,0.0,0.0,17.222095,0.022473
KMTA01,I,8213.16057,0.0,0.0,17.224446,0.024752
KMTA01,I,8213.1915,0.0,0.0,17.22043,0.028329
KMTA01,I,8213.22795,0.0,0.0,17.243934,0.019991
KMTA01,I,8213.25447,0.0,0.0,17.195151,0.018923
KMTA01,I,8213.28046,0.0,0.0,17.207008,0.017242
KMTA01,I,8213.30549,0.0,0.0,17.226601,0.017728
KMTA01,I,8214.11409,0.0,0.0,17.22327,0.02277
KMTA01,I,8214.14537,0.0,0.0,17.210241,0.01951
KMTA01,I,8214.16817,0.0,0.0,17.226405,0.018221
KMTA01,I,8214.19106,0.0,0.0,17.180547,0.025468
KMTA01,I,8214.22132,0.0,0.0,17.224544,0.021779
KMTA01,I,8214.24431,0.0,0.0,17.198581,0.016556
KMTA01,I,8214.27402,0.0,0.0,17.235611,0.017331
KMTA01,I,8214.29687,0.0,0.0,17.229931,0.021381
KMTA01,I,8214.31948,0.0,0.0,17.169468,0.033931
KMTA01,I,8215.11178,0.0,0.0,17.17192,0.02915
KMTA01,I,8215.14135,0.0,0.0,17.198875,0.027148
KMTA01,I,8215.16414,0.0,0.0,17.170351,0.026764
KMTA01,I,8215.20028,0.0,0.0,17.222095,0.025249
KMTA01,I,8215.22649,0.0,0.0,17.238352,0.032892
KMTA01,I,8215.24954,0.0,0.0,17.212691,0.026048
KMTA01,I,8215.28192,0.0,0.0,17.261946,0.03407
KMTA01,I,8215.30465,0.0,0.0,17.233652,0.025343
KMTA01,I,8216.10565,0.0,0.0,17.2361,0.021774
KMTA01,I,8216.13164,0.0,0.0,17.185154,0.017643
KMTA01,I,8216.15833,0.0,0.0,17.212593,0.017142
KMTA01,I,8216.18139,0.0,0.0,17.218667,0.016746
KMTA01,I,8216.21136,0.0,0.0,17.229245,0.016743
KMTA01,I,8216.23398,0.0,0.0,17.258031,0.020282
KMTA01,I,8216.25585,0.0,0.0,17.194073,0.020999
KMTA01,I,8216.28554,0.0,0.0,17.212887,0.020497
KMTA01,I,8216.30825,0.0,0.0,17.239527,0.025935
KMTA01,I,8217.11956,0.0,0.0,17.224935,0.019109
KMTA01,I,8217.14263,0.0,0.0,17.17888,0.016956
KMTA01,I,8217.16524,0.0,0.0,17.213474,0.014295
KMTA01,I,8217.19448,0.0,0.0,17.212495,0.016748
KMTA01,I,8217.21857,0.0,0.0,17.207596,0.015276
KMTA01,I,8217.24895,0.0,0.0,17.194073,0.013324
KMTA01,I,8217.27147,0.0,0.0,17.205538,0.014591
KMTA01,I,8217.29396,0.0,0.0,17.252745,0.019
KMTA01,I,8218.11159,0.0,0.0,17.20838,0.030523
KMTA01,I,8218.16365,0.0,0.0,17.230518,0.017825
KMTA01,I,8218.19367,0.0,0.0,17.202991,0.017736
KMTA01,I,8218.21593,0.0,0.0,17.208282,0.015472
KMTA01,I,8218.24525,0.0,0.0,17.224935,0.014586
KMTA01,I,8218.26851,0.0,0.0,17.228364,0.016547
KMTA01,I,8218.29502,0.0,0.0,17.207792,0.013906
KMTA01,I,8219.09782,0.0,0.0,17.18731,0.018629
